experiment_id,average_1_15,average_16_30,average_31_45,average_46_60,average_61_75,average_76_90,average_91_105,average_106_120,average_121_135,average_136_150,average_151_165,average_166_180
6-11 part 1,99.79959666258965,88.56145694029551,114.87675681747263,126.21176133213407,110.57961398932505,89.56194321299579,98.63786112223669,62.35870534074051,100.52659073444183,111.69028666342003,87.99395467951581,101.48811196050389
6-11 part 2,159.77669497476347,134.04066501431427,131.37038402489767,114.88415392748227,138.32225226200632,131.20260268254123,122.83654267913039,121.57599124952914,124.47151032192662,108.86549984231702,117.68905499601574,127.1598051580826
6-12 part 1,96.71930656263629,109.99895467552587,115.31445645144392,103.46131220684923,93.9168367998034,78.39589146198175,57.98124829904759,89.3949968965878,73.9680067449673,82.62085806694266,103.11372772282188,74.16330104782112
6-12 part 2,101.17680730243042,97.4300047092315,87.2923691090128,88.12851398123236,98.13867804748325,88.80905603428413,80.07146555316845,78.12892386743707,77.89379521421704,97.39621184354864,75.6144116135597,81.76083289367962
6-13 part 1,121.80072676386179,92.01455680997864,106.63241113753452,142.48811159220324,130.42087855751146,102.80620366243255,122.98218312739884,149.8105384052953,101.81456524928845,89.20336901266273,145.40001432706407,95.05097166065093
6-13 part 2,95.65713570408856,87.2864940950259,74.14381163635764,84.75158941418245,83.9438894054462,93.33640042239792,71.61913614919868,55.705244269882726,73.43514724591455,75.89057127512807,83.19371265257925,72.38450100002713
6-13 part 3,150.210649536769,162.97267214703905,116.72724120565574,118.41805495193171,124.72173398098134,130.28379777480714,122.30122530643517,97.68601951959407,121.0522469373563,135.14791876045456,94.71169123979294,89.41038326674996
6-13 part 4,91.88754539648676,86.6433944520803,85.25139585543613,88.29030317238865,103.91807056368383,96.83365450325024,65.44775495907098,92.58196939832331,75.16223977549858,91.79127739634147,68.18708087467611,74.6328737228919
6-14 part 1,104.85315772281139,81.25962330708583,101.1120963267659,77.94187095820266,112.64777805834011,94.72961649685288,95.85076067516762,112.67498423279449,69.53748993334575,75.97285430597361,89.40743936860993,83.41249462677963
6-17 part 1,82.34170441927452,103.65759414737542,80.2290280958688,89.48412374576294,85.77917641749583,97.62971608885537,86.22168926248797,92.37813802186803,71.913014504055,88.28780107474564,96.32242477149065,111.042127798182
6-18 part 1,88.72738198210196,96.83158957636756,79.62286992770558,80.0887240217996,82.8071690326418,49.86749889733681,74.05096599840951,71.38384193172914,67.65484140378047,53.58434977455084,73.51789537530357,56.81932532695525
6-20 part 1,104.1273556603536,112.50089903296227,123.17290964335302,104.10427308020668,145.1465151127772,119.86061256367407,84.18879484142953,74.10132916440169,139.86319583168228,104.73946586421646,102.91594069489186,82.77626496671165
6-20 part 2,97.15023184647748,104.93543434610679,148.40693501561705,207.9464308631207,157.59463628987402,95.09123228304483,117.94258060819416,149.20756448620887,139.89040024283824,158.72223876461337,109.52936306137165,124.17272838448623
6-21 part 1,92.49006621033128,95.97651664119931,91.44252559539333,71.00105623119558,106.82245038236714,123.41417692981351,98.8434227146234,97.84393753046896,77.01806065402668,100.27245690089158,55.19524318403795,104.90059487165055
6-21 part 2,120.63372061798322,111.74637332106357,90.5141835483493,123.49511580672346,82.67844452689043,139.44856966645122,87.93691135997405,86.43767328977621,138.85721952014913,81.82281722526731,86.00645999902112,93.01960640392717
6-28 part 1,92.49006621033128,95.97651664119931,91.44252559539333,71.00105623119558,106.82245038236714,123.41417692981351,98.8434227146234,97.84393753046896,77.01806065402668,100.27245690089158,55.19524318403795,104.90059487165055
7-23 part 1,244.8816308993887,207.93199820120154,210.7569744357496,244.2981806067675,200.89886202735727,198.34789061426127,210.99159868462218,236.89464449091858,198.83299181946143,180.38131623153757,157.26492951520262,166.5658847598029
7-24 part 1,168.11817677287013,220.18935415365692,205.11452735987123,222.30563840192818,236.34805483852196,176.0692226473655,208.9676060865474,216.4936322161863,241.8375972703909,156.54251364660752,190.20613471740378,146.25516045678026
7-24 part 2,200.26599320096787,282.2676015885149,288.1446382620586,285.7569234796841,190.98145300548853,142.95297107105984,231.72060748892216,212.70873725990856,196.44820036017748,201.65718231854441,192.43109658647415,228.29516258685518
7-25 part 1,197.96511592046696,151.72423933196998,197.21976157220945,183.4935369830885,154.1996781592676,168.1340093184574,170.38233745245253,286.0892391025487,167.84856486500237,178.8495967282297,156.6170178333259,150.12683715986213
7-26 part 1,116.5182564835906,161.484541632255,173.55139953540956,183.31655315461407,171.6722811614138,200.4399454988959,164.13966110188494,186.91999932521014,187.2070199566745,217.14215950255755,170.6420930648011,232.90362228037145
