1,251,484,612,440,363.67155511532656
10,401,675,645,519,289.60662975836726
100,810,520,609,438,217.0829334609241
101,-1,-1,610,441,508.66491917567896
102,-1,-1,612,440,508.66491917567896
103,650,385,684,382,34.132096331752024
104,771,378,687,382,84.09518416651456
105,884,420,685,383,202.41047403728888
106,368,519,685,382,345.33751606218516
107,646,476,684,383,100.46392387319938
108,355,427,687,382,335.035818980598
109,554,430,686,383,140.11780757633915
11,662,424,604,449,63.15853069855251
110,468,388,685,382,217.0829334609241
111,578,503,686,382,162.18816233005415
112,454,435,686,382,237.9768896342668
113,751,401,686,382,67.72001181334805
114,531,479,687,382,183.69812192834198
115,542,440,686,383,154.8709139896837
116,607,434,684,383,92.35799911215054
117,596,436,761,328,197.20294115453754
118,542,456,623,541,117.41379816699569
119,653,433,482,551,207.76188293332345
12,437,389,676,543,284.3184833949422
120,666,550,568,513,104.75208828467335
121,563,388,670,340,117.27318534089538
122,441,380,636,494,225.8782858089728
123,670,360,465,502,249.3772243008571
124,740,391,504,358,238.29603437741048
125,493,455,813,308,352.1491161425796
126,522,514,792,320,332.46954747766
127,695,290,684,466,176.34341496069538
128,678,425,584,464,101.76934705499491
129,572,544,481,376,191.06281689538653
13,526,490,611,440,98.6154146165801
130,596,438,570,368,74.67261881037788
131,750,485,666,370,142.41137595009747
132,-1,-1,773,409,508.66491917567896
133,278,568,491,535,215.5411793602327
134,549,455,554,546,91.13725912051558
135,879,283,564,306,315.83856635946154
136,438,367,547,509,179.0111728356641
137,512,597,525,413,184.45866745696716
138,460,547,596,551,136.0588108135596
139,680,348,719,477,134.7664646712972
14,654,616,461,557,201.81674856165927
140,479,444,444,514,78.26237921249263
141,304,365,810,313,508.66491917567896
142,751,501,448,434,310.31919051196303
143,617,331,642,537,207.51144546747295
144,550,589,599,440,156.85024705112835
145,339,551,493,423,200.24984394500785
146,679,407,604,420,76.11832893594026
147,780,458,774,414,44.40720662234904
148,552,356,783,303,237.00210969525145
149,901,383,624,525,311.27640450249356
15,592,319,471,357,126.82665335015349
150,556,499,758,440,210.440015206234
151,436,436,709,414,273.8850123683295
152,645,338,561,319,86.12200647918046
153,348,389,733,289,397.77506206397607
154,889,386,707,443,190.71706793048176
155,554,396,477,370,81.27115109311545
156,602,486,548,433,75.66372975210778
157,363,569,697,482,345.14489710844634
158,561,614,749,402,283.3513719747974
159,501,372,588,320,101.35580891098448
16,586,578,451,573,135.09256086106296
160,604,495,685,296,214.85343841791317
161,609,227,722,393,200.81085628023203
162,788,397,668,320,142.57980221616245
163,764,345,522,505,290.1103238424996
164,333,499,630,471,298.31694554617576
165,315,532,497,480,189.2828571212935
166,428,530,545,441,147.00340132119393
167,768,336,511,489,299.0953025375023
168,591,472,761,290,249.0461804565571
169,778,186,758,291,106.88779163215975
17,333,527,486,516,153.39491516996253
170,421,480,644,428,228.98253208487324
171,512,533,448,568,72.94518489934754
172,610,380,638,394,31.304951684997057
173,479,490,510,560,76.55716818169282
174,-1,-1,722,421,508.66491917567896
175,531,479,747,378,238.447059113758
176,-1,-1,678,308,508.66491917567896
177,513,639,428,561,115.36463929644994
178,328,341,640,321,312.6403684747061
18,755,433,456,504,307.31417149230197
19,746,294,460,371,296.1840643923977
2,476,399,611,440,141.088624630053
20,675,460,656,535,77.3692445355388
21,518,514,621,529,104.08650248711405
22,556,519,463,579,110.6752004741803
23,564,476,628,439,73.92563831310488
24,719,433,610,440,109.22453936730518
25,528,382,807,342,281.85279846047297
26,551,480,591,550,80.62257748298549
27,671,618,444,597,227.96929617823537
28,-1,-1,685,331,508.66491917567896
29,739,252,487,373,279.54427198567316
3,508,537,510,439,98.02040603874276
30,777,536,554,496,226.55904307707516
31,488,316,450,547,234.10467744152402
32,556,540,451,518,107.28000745712129
33,748,388,550,380,198.16155025635018
