1,251,484,612,440
10,401,675,645,519
100,810,520,609,438
101,-1,-1,610,441
102,-1,-1,612,440
103,650,385,684,382
104,771,378,687,382
105,884,420,685,383
106,368,519,685,382
107,646,476,684,383
108,355,427,687,382
109,554,430,686,383
11,662,424,604,449
110,468,388,685,382
111,578,503,686,382
112,454,435,686,382
113,751,401,686,382
114,531,479,687,382
115,542,440,686,383
116,607,434,684,383
117,596,436,761,328
118,542,456,623,541
119,653,433,482,551
12,437,389,676,543
120,666,550,568,513
121,563,388,670,340
122,441,380,636,494
123,670,360,465,502
124,740,391,504,358
125,493,455,813,308
126,522,514,792,320
127,695,290,684,466
128,678,425,584,464
129,572,544,481,376
13,526,490,611,440
130,596,438,570,368
131,750,485,666,370
132,-1,-1,773,409
133,278,568,491,535
134,549,455,554,546
135,879,283,564,306
136,438,367,547,509
137,512,597,525,413
138,460,547,596,551
139,680,348,719,477
14,654,616,461,557
140,479,444,444,514
141,304,365,810,313
142,751,501,448,434
143,617,331,642,537
144,550,589,599,440
145,339,551,493,423
146,679,407,604,420
147,780,458,774,414
148,552,356,783,303
149,901,383,624,525
15,592,319,471,357
150,556,499,758,440
151,436,436,709,414
152,645,338,561,319
153,348,389,733,289
154,889,386,707,443
155,554,396,477,370
156,602,486,548,433
157,363,569,697,482
158,561,614,749,402
159,501,372,588,320
16,586,578,451,573
160,604,495,685,296
161,609,227,722,393
162,788,397,668,320
163,764,345,522,505
164,333,499,630,471
165,315,532,497,480
166,428,530,545,441
167,768,336,511,489
168,591,472,761,290
169,778,186,758,291
17,333,527,486,516
170,421,480,644,428
171,512,533,448,568
172,610,380,638,394
173,479,490,510,560
174,-1,-1,722,421
175,531,479,747,378
176,-1,-1,678,308
177,513,639,428,561
178,328,341,640,321
18,755,433,456,504
19,746,294,460,371
2,476,399,611,440
20,675,460,656,535
21,518,514,621,529
22,556,519,463,579
23,564,476,628,439
24,719,433,610,440
25,528,382,807,342
26,551,480,591,550
27,671,618,444,597
28,-1,-1,685,331
29,739,252,487,373
3,508,537,510,439
30,777,536,554,496
31,488,316,450,547
32,556,540,451,518
33,748,388,550,380
